fct nb, c, k
00000, 1, 1
00001, 1, 1
00002, 1, 1
00003, 1, 1
00004, 1, 1
00010, 1, 0
00011, 5, 0
00012, 5, 0
00013, 5, 0
00014, 5, 0
00020, 4, 0
00021, 4, 0
00022, 4, 0
00023, 4, 0
00024, 4, 0
00030, 4, 0
00031, 4, 0
00032, 4, 0
00033, 4, 0
00034, 4, 0
00040, 2, 0
00041, 2, 0
00042, 2, 0
00043, 2, 0
00044, 2, 0
00100, 1, 2
00101, 3, 1
00102, 2, 2
00103, 1, 2
00104, 2, 1
00110, 2, 1
00111, 1, 2
00112, 3, 1
00113, 2, 2
00114, 1, 2
00120, 1, 2
00121, 3, 1
00122, 2, 2
00123, 1, 2
00124, 2, 1
00130, 1, 2
00131, 2, 1
00132, 1, 2
00133, 3, 1
00134, 2, 2
00140, 1, 2
00141, 2, 1
00142, 1, 2
00143, 3, 1
00144, 2, 2
00200, 1, 2
00201, 2, 2
00202, 2, 1
00203, 3, 1
00204, 1, 2
00210, 2, 1
00211, 3, 1
00212, 1, 2
00213, 1, 2
00214, 2, 2
00220, 1, 2
00221, 2, 2
00222, 2, 1
00223, 3, 1
00224, 1, 2
00230, 1, 2
00231, 1, 2
00232, 2, 2
00233, 2, 1
00234, 3, 1
00240, 1, 2
00241, 1, 2
00242, 2, 2
00243, 2, 1
00244, 3, 1
00300, 1, 2
00301, 1, 2
00302, 3, 1
00303, 2, 1
00304, 2, 2
00310, 2, 1
00311, 2, 2
00312, 1, 2
00313, 1, 2
00314, 3, 1
00320, 1, 2
00321, 1, 2
00322, 3, 1
00323, 2, 1
00324, 2, 2
00330, 1, 2
00331, 3, 1
00332, 2, 1
00333, 2, 2
00334, 1, 2
00340, 1, 2
00341, 3, 1
00342, 2, 1
00343, 2, 2
00344, 1, 2
00400, 1, 2
00401, 2, 1
00402, 1, 2
00403, 2, 2
00404, 3, 1
00410, 2, 1
00411, 1, 2
00412, 2, 2
00413, 3, 1
00414, 1, 2
00420, 1, 2
00421, 2, 1
00422, 1, 2
00423, 2, 2
00424, 3, 1
00430, 1, 2
00431, 2, 2
00432, 3, 1
00433, 1, 2
00434, 2, 1
00440, 1, 2
00441, 2, 2
00442, 3, 1
00443, 1, 2
00444, 2, 1
01000, 2, 0
01001, 4, 0
01002, 6, 0
01003, 6, 0
01004, 4, 0
01010, 1, 2
01011, 2, 1
01012, 1, 3
01013, 1, 3
01014, 2, 1
01020, 1, 1
01021, 2, 2
01022, 1, 3
01023, 1, 3
01024, 2, 2
01030, 2, 1
01031, 2, 2
01032, 1, 2
01033, 1, 2
01034, 2, 2
01040, 1, 2
01041, 1, 2
01042, 3, 1
01043, 3, 1
01044, 1, 2
01100, 1, 2
01101, 2, 2
01102, 2, 1
01103, 2, 2
01104, 1, 2
01110, 1, 2
01111, 3, 1
01112, 3, 1
01113, 1, 2
01114, 1, 2
01120, 4, 0
01121, 2, 0
01122, 4, 0
01123, 6, 0
01124, 6, 0
01130, 1, 3
01131, 1, 3
01132, 2, 1
01133, 1, 2
01134, 2, 1
01140, 1, 1
01141, 2, 2
01142, 1, 3
01143, 1, 3
01144, 2, 2
01200, 1, 3
01201, 1, 3
01202, 2, 2
01203, 1, 1
01204, 2, 2
01210, 1, 2
01211, 2, 2
01212, 2, 1
01213, 2, 2
01214, 1, 2
01220, 1, 2
01221, 1, 2
01222, 1, 2
01223, 3, 1
01224, 3, 1
01230, 2, 0
01231, 4, 0
01232, 6, 0
01233, 6, 0
01234, 4, 0
01240, 2, 1
01241, 1, 3
01242, 1, 3
01243, 2, 1
01244, 1, 2
01300, 1, 3
01301, 2, 2
01302, 1, 1
01303, 2, 2
01304, 1, 3
01310, 1, 2
01311, 1, 2
01312, 2, 2
01313, 2, 1
01314, 2, 2
01320, 1, 2
01321, 3, 1
01322, 3, 1
01323, 1, 2
01324, 1, 2
01330, 2, 0
01331, 4, 0
01332, 6, 0
01333, 6, 0
01334, 4, 0
01340, 2, 1
01341, 1, 2
01342, 2, 1
01343, 1, 3
01344, 1, 3
01400, 1, 2
01401, 1, 2
01402, 2, 2
01403, 2, 1
01404, 2, 2
01410, 1, 2
01411, 1, 2
01412, 1, 2
01413, 3, 1
01414, 3, 1
01420, 4, 0
01421, 6, 0
01422, 6, 0
01423, 4, 0
01424, 2, 0
01430, 1, 3
01431, 2, 1
01432, 1, 2
01433, 2, 1
01434, 1, 3
01440, 1, 1
